X,FOIL,Versio,n 6.99,,,
-11,-1.227,0.00911,0.00521,0.0005,1,0.0062
-10.5,-1.175,0.00868,0.00478,0.0011,1,0.0065
-10,-1.1183,0.00823,0.00435,0.0006,0.9989,0.0071
-9.5,-1.0595,0.00781,0.00395,-0.0004,0.9952,0.0078
-9,-1.0046,0.00746,0.00361,-0.0003,0.9859,0.0084
-8.5,-0.9526,0.00715,0.00329,0.0005,0.9694,0.0092
-8,-0.8993,0.00687,0.00298,0.001,0.9472,0.0101
-7.5,-0.8448,0.00662,0.00268,0.0013,0.92,0.0113
-7,-0.7898,0.0064,0.00241,0.0014,0.8844,0.013
-6.5,-0.7343,0.00622,0.00216,0.0015,0.8443,0.0148
-6,-0.6786,0.00606,0.00193,0.0015,0.8014,0.0171
-5.5,-0.6225,0.00592,0.00172,0.0014,0.756,0.0204
-5,-0.5664,0.00579,0.00153,0.0014,0.7107,0.025
-4.5,-0.5101,0.00567,0.00135,0.0013,0.6642,0.031
-4,-0.4536,0.00556,0.00119,0.0012,0.6196,0.0396
-3.5,-0.397,0.00545,0.00105,0.0011,0.5771,0.0518
-3,-0.3404,0.00535,0.00092,0.001,0.5334,0.0693
-2.5,-0.2837,0.00527,0.00082,0.0008,0.4878,0.0887
-2,-0.227,0.00517,0.00073,0.0007,0.4481,0.1184
-1.5,-0.1703,0.00509,0.00065,0.0005,0.4033,0.1521
-1,-0.1136,0.00502,0.0006,0.0004,0.3615,0.1913
-0.5,-0.0568,0.00499,0.00057,0.0002,0.319,0.2308
0,-0.0001,0.00498,0.00056,0,0.2737,0.2736
0.5,0.0567,0.00498,0.00056,-0.0002,0.233,0.3179
1,0.1134,0.00502,0.0006,-0.0003,0.1914,0.3623
1.5,0.1701,0.00509,0.00065,-0.0005,0.1519,0.4041
2,0.2269,0.00517,0.00072,-0.0006,0.1193,0.447
2.5,0.2836,0.00526,0.00081,-0.0008,0.0902,0.4902
3,0.3402,0.00535,0.00092,-0.0009,0.0687,0.5328
3.5,0.3968,0.00545,0.00105,-0.001,0.0518,0.5757
4,0.4534,0.00557,0.0012,-0.0012,0.0392,0.6177
4.5,0.5098,0.00567,0.00135,-0.0012,0.0307,0.6651
5,0.5662,0.00579,0.00153,-0.0013,0.0248,0.7104
5.5,0.6223,0.00591,0.00172,-0.0014,0.0207,0.756
6,0.6783,0.00606,0.00193,-0.0014,0.0173,0.8
6.5,0.734,0.00622,0.00216,-0.0014,0.0148,0.8432
7,0.7896,0.00641,0.00241,-0.0013,0.0129,0.8834
7.5,0.8445,0.00662,0.00268,-0.0012,0.0114,0.9192
8,0.8989,0.00687,0.00298,-0.0009,0.0101,0.9473
8.5,0.9523,0.00715,0.00329,-0.0004,0.0092,0.9697
9,1.004,0.00746,0.00361,0.0004,0.0084,0.9862
9.5,1.0594,0.00781,0.00396,0.0004,0.0078,0.9953
10,1.1182,0.00823,0.00435,-0.0005,0.0071,0.9989
10.5,1.175,0.00867,0.00478,-0.0011,0.0066,1
11,1.2269,0.00911,0.00521,-0.0005,0.0062,1
11.5,1.2787,0.00959,0.00568,0,0.0058,1
12,1.3304,0.01009,0.00618,0.0005,0.0055,1
12.5,1.3815,0.01064,0.00673,0.001,0.0052,1
13,1.4317,0.01124,0.00733,0.0017,0.0049,1
13.5,1.4817,0.01182,0.00792,0.0023,0.0047,1
14,1.5303,0.01249,0.0086,0.0031,0.0045,1
14.5,1.5777,0.01323,0.00936,0.0041,0.0042,1
15,1.6249,0.01394,0.01008,0.005,0.0041,1
15.5,1.6705,0.01472,0.01089,0.0061,0.004,1
16,1.7141,0.01561,0.0118,0.0074,0.0038,1
16.5,1.7549,0.01664,0.01286,0.0091,0.0036,1
17,1.795,0.01759,0.01386,0.0108,0.0036,1
17.5,1.832,0.01864,0.01495,0.0129,0.0035,1
18,1.8637,0.01983,0.01618,0.0157,0.0034,1
18.5,1.8818,0.02122,0.01764,0.0204,0.0033,1
19,1.8965,0.02308,0.01957,0.0245,0.0033,1
19.5,1.907,0.02556,0.02214,0.0278,0.0032,1
20,1.9128,0.02891,0.0256,0.0299,0.0031,1
20.5,1.9151,0.0332,0.03,0.0306,0.003,1
21,1.9113,0.03883,0.03575,0.0297,0.003,1
21.5,1.8959,0.04655,0.04362,0.027,0.003,1
22,1.8612,0.05753,0.05478,0.0218,0.003,1
22.5,1.7963,0.07376,0.07126,0.0133,0.003,1
23,1.6705,0.10067,0.09852,-0.0017,0.003,1
23.5,1.4401,0.14936,0.14779,-0.0325,0.0031,1
24,1.1971,0.21385,0.21293,-0.0808,0.0033,1
24.5,1.1276,0.24555,0.24485,-0.1043,0.003,1
25,1.1254,0.25692,0.25628,-0.1131,0.003,1
25.5,1.1276,0.26686,0.26627,-0.1209,0.0029,1
26,1.1301,0.27711,0.27654,-0.1289,0.0026,1
26.5,1.1379,0.28509,0.28455,-0.1356,0.0025,1
27,1.1466,0.29259,0.29207,-0.142,0.0024,1
27.5,1.1541,0.30094,0.30043,-0.1489,0.0022,1
28,1.1654,0.30693,0.30643,-0.1547,0.002,1
28.5,1.1746,0.31443,0.31396,-0.1613,0.0019,1
29,1.1839,0.32165,0.32119,-0.1677,0.0018,1
29.5,1.1958,0.32683,0.32638,-0.1733,0.0016,1
30,1.2025,0.33631,0.33588,-0.1806,0.0014,1
